RoomId|NodeId|Type|Day|NextNodeId|Text
nicholas|nd6|Msg|6||야... 내일이면 잠복기 마지막 날이래.
nicholas|nd6|Msg|||솔직히 무서워 죽겠어. 진짜로.
nicholas|nd6|Msg|||만약 우리 중에 아직 감염자가 있으면, 내일 다 끝장나는 거 아니야?
nicholas|nd6|Choice||nd6_a|괜찮을 거예요.
nicholas|nd6|Choice||nd6_b|왜 그렇게 불안해해요?
nicholas|nd6_a|Msg|||...그래. 그래야지. 그래야 하는데.
nicholas|nd6_b|Msg|||누군가 아직 우리 사이에 섞여 있다는 거잖아. 그게 누군지도 모르고.
nicholas|nd6_b|Msg|||아무튼, 너도 오늘 밤은 조심해.
ella|ed6|Msg|6||나, 오늘은 그냥 내 방에만 있으려고.
ella|ed6|Msg|||찾지 말아 줘. ...아무하고도 마주치고 싶지 않아서.
ella|ed6|Choice||ed6_a|알겠어요. 푹 쉬어요.
ella|ed6|Choice||ed6_b|무슨 일 있어요?
ella|ed6_a|Msg|||...고마워.
ella|ed6_b|Msg|||아니. 그냥... 사람들 눈초리가 무서워서.
ella|ed6_b|Msg|||다들 날 보는 눈이 달라졌잖아.
james|jd7|Msg|7||어제는 아무 흔적도 발견되지 않았네.
james|jd7|Msg|||어쩌면... 사실은 감염자 같은 건 처음부터 없었던 게 아닐까.
james|jd7|Msg|||우리끼리 괜한 의심으로 서로를 몰아세운 거였을 수도 있지.
james|jd7|Choice||jd7_a|그럴 수도 있겠네요.
james|jd7|Choice||jd7_b|방심하긴 일러요.
james|jd7_a|Msg|||...그래. 그랬으면 좋겠군.
james|jd7_b|Msg|||...자네 말이 맞네. 끝까지 긴장을 놓아선 안 되지.
james|jd7_b|Msg|||오늘 밤 투표, 신중하게 하게.
sophia|sd7|Msg|7||잘 들어요. 오늘은 정말 중요한 날이에요.
sophia|sd7|Msg|||처음 감염자였던 테오, 기억하죠? 그 사람과 제일 가까웠던 게 엘라였어요.
sophia|sd7|Msg|||감염은 가까운 사람한테서 옮는 법이에요.
sophia|sd7|Msg|||그러니 오늘 밤엔 꼭 엘라한테 투표해요. 알겠죠?
sophia|sd7|Choice||sd7_a|알겠어요.
sophia|sd7|Choice||sd7_b|그건 너무 성급한데요.
sophia|sd7_a|Msg|||잘 생각했어요. 그게 우리 모두를 위한 길이에요.
sophia|sd7_b|Msg|||...왜요? 달리 의심 가는 사람이라도 있어요?
sophia|sd7_b|Msg|||난 그저, 더 늦기 전에 끝내고 싶을 뿐이에요.
